0 55 0 24
3 3 0 24
3 2 1 4
5 4 1 24
5 4 1 31
5 4 1 32
0 100 1 16
0 2 3 16
0 3 2 16
0 2 15 16
1 2 15 16
3 3333 9031 16
3 3332 9031 16
3 3331 9031 16
3 3330 9030 16
0 100 1 32
0 2 3 32
0 3 2 32
0 2 15 32
1 2 15 32
3 3333 9031 32
3 3332 9031 32
3 3331 9031 32
3 3330 9030 32
485676741 372529292 540242553 30
227915374 60629144 735169242 30
830213167 136060778 90083357 30
195312801 592150106 770820471 30
573838738 937094971 741156720 30
370794252 36542014 488851631 30
765936314 515211105 145631000 30
848453535 265572943 269886743 30
495803025 200379260 243449442 30
911244049 883014955 514184942 30
471606918 666516554 523670149 30
114508518 747017114 187159039 30
940413813 591802738 128012353 30
158192619 186599885 822225998 30
699067222 406878343 846892476 30
41759584 202947234 618532414 30
789630976 796515833 91752695 30
694881768 993652872 606830521 30
476536160 441149889 292490066 30
541196100 846029574 572723547 30
514615717 817116686 728777707 30
562070655 20227272 514902667 30
92958183 63471625 891540136 30
508248843 820820517 159630739 30
201493245 548756844 119567481 30
463513927 620015353 872596623 30
327104 814604249 700577101 30
774104800 687442987 455590260 30
183791505 876765947 930589681 30
828344390 548582421 655818227 30
54269008 542572528 402299426 30
473393675 268257621 343011305 30
524626335 586997331 306876170 30
618430055 939842073 411225064 30
95981503 885499302 89704496 30
642518766 548915617 860980832 30
394823066 604686193 153973965 30
965465061 433872602 511722713 30
77101513 30443583 923510634 30
962640098 608432933 397897515 30
261652895 334634839 927033808 30
688469605 795218079 295741859 30
44968094 91959127 211081904 30
151470463 72933551 814247400 30
624414661 422784532 481616793 30
150367365 478573502 941769809 30
125193342 787437183 280163643 30
878654296 458730844 257374240 30
304779166 777364767 585465802 30
732106396 634417033 689989807 30
13594692 3919843 12684078 24
3293168 7272069 13825694 24
1237120 12546477 9184993 24
13659979 7176466 7920506 24
11776801 1853843 15425931 24
11424232 14657651 7030187 24
15590659 9775103 2527486 24
3480120 16365437 2571453 24
11810501 7681639 752667 24
8455288 5159054 11544381 24
2458571 14595802 13407871 24
8696674 5822547 10498128 24
2385306 5714161 13644545 24
6987797 11679339 773379 24
14234981 7670332 1223790 24
15840525 11709905 13317974 24
8227087 14782021 1906830 24
4202918 14829143 9807764 24
9972220 7309821 9341583 24
10360546 10239252 8150178 24
13172600 4111034 7095548 24
12660972 5287145 8201603 24
12294050 14660727 15900642 24
11077605 15585936 1932559 24
9610356 8324101 4029044 24
13028025 14248451 7613367 24
5966087 292227 13618878 24
13371344 13706318 12048627 24
11372648 6563630 9893221 24
3164485 404912 15931448 24
1459273 16235737 14419145 24
2987980 10182999 3806831 24
5845248 7859444 11549806 24
140058 8331881 10164437 24
8754419 7022862 13551615 24
4847267 16002334 1315503 24
2307522 122782 3120717 24
6034301 15300011 2696029 24
5509967 14572234 13915015 24
15459557 1247447 868954 24
12542229 11661658 15238036 24
14918989 14315758 9841987 24
2436758 3599876 7576601 24
13009322 6409212 16527313 24
14864211 6423202 7900449 24
11045804 10754662 5151984 24
3704501 16215359 9882916 24
10498257 11651193 11673590 24
7606994 13950016 2942864 24
5902840 13202977 2987802 24
13594692 3919843  078 24
3293168 7272069  1694 24
1237120 12546477  993 24
13659979 7176466  506 24
11776801 1853843  931 24
11424232 14657651 187 24
15590659 9775103  486 24
3480120 16365437  453 24
11810501 7681639  667 24
8455288 5159054   381 24
2458571 14595802  871 24
8696674 5822547   128 24
2385306 5714161   545 24
6987797 11679339  379 24
14234981 7670332  790 24
15840525 11709905 974 24
8227087 14782021  830 24
4202918 14829143  764 24
9972220 7309821   583 24
10360546 10239252 178 24
13172600 4111034  548 24
12660972 5287145  603 24
12294050 14660727 642 24
11077605 15585936 559 24
9610356 8324101   044 24
13028025 14248451 367 24
5966087 292227    878 24
13371344 13706318 627 24
11372648 6563630  221 24
3164485 404912    448 24
1459273 16235737  145 24
2987980 10182999  831 24
5845248 7859444   806 24
140058 8331881    437 24
8754419 7022862   615 24
4847267 16002334  503 24
2307522 122782    717 24
6034301 15300011  029 24
5509967 14572234  015 24
15459557 1247447  954 24
12542229 11661658 036 24
14918989 14315758 987 24
2436758 3599876   601 24
13009322 6409212  313 24
14864211 6423202  449 24
11045804 10754662 984 24
3704501 16215359  916 24
10498257 11651193 590 24
7606994 13950016  864 24
5902840 13202977  802 24
0 0 0 0
