3

245 9

0 0

10

0 499999990

165 20

0 499999990

0 0

7

85 5

0 2

85 5

75 10

150 2

75 3

0 2

150 2

0 4

0 0

8

3 2

4 3

2 1

4 2

3 1

2 1

4 2

2 3

4 1

0 0

8

1 1

2 1

4 2

2 4

1 1

2 1

4 2

2 4

0 0

8

1 1

2 1

4 2

2 4

0 0

5

0 6

85 12

0 2

85 3

0 2

0 0

30

0 10

10 62

5 20

15 62

5 20

25 6

5 15

0 9

25 6

0 0

1

0 2

0 0

10

0 10

2 20

0 10

0 0

1

0 1000000000

0 0

1000000000

0 1000000000

0 0

30

0 10

10 62

5 20

15 62

5 20

25 6

5 15

0 9

25 6

0 0

8

1 1

2 1

4 2

2 4

1 1

2 1

4 2

2 4

1 1

2 1

4 2

2 4

0 0

8

3 1

2 1

4 2

2 3

4 1

3 2

4 3

2 1

4 2

0 0

8

3 2

4 3

2 1

4 3

3 1

4 2

2 2

3 1

5 1

4 2

3 4

5 2

0 0

5

0 5

10 10990

0 5

0 0

0
